Make	Model	MakeCode	FamilyCode	YearGroup	MonthGroup	SequenceNum	Description	CurrentRelease	ImportFlag	LimitedEdition	Series	SeriesModelYear	BadgeDescription	BadgeSecondaryDescription	BodyStyleDescription	BodyConfigDescription	WheelBaseConfig	Roofline	ExtraIdentification	DriveDescription	DriveCode	GearTypeDescription	GearLocationDescription	GearNum	DoorNum	EngineSize	EngineDescription	Cylinders	FuelTypeDescription	InductionDescription	OptionCategory	CamDescription	EngineTypeDescription	FuelCapacity	FuelDeliveryDescription	MethodOfDeliveryDescription	GrossCombinationMAss	GrossVehicleMass	VIN	WheelBase	Height	Length	Width	KerbWeight	TareMass	PayLoad	Power	PowerRPMFrom	PowerRPMTo	Torque	TorqueRPMFrom	TorqueRPMTo	RonRating	SeatCapacity	ModelCode	BuildCountryOriginDescription	ValvesCylinder	EngineCycleDescription	EngineConfigurationDescription	EngineLocation	EngineNum	Acceleration	FrontTyreSize	RearTyreSize	FrontRimDesc	RearRimDesc	TowingBrakes	TowingNoBrakes	WarrantyCustAssist	FreeScheduledService	WarrantyYears	WarrantyKM	FirstServiceKM	FirstServiceMonths	RegServiceMonths	AltEngEngineType	AltEngBatteryType	AltEngCurrentType	AltEngAmpHours	AltEngVolts	AltEngChargingMethod	AltEngPower	AltEngPowerFrom	AltEngPowerTo	AltEngTorque	AltEngTorqueFrom	AltEngTorqueTo	AltEngDrive	NormalChargeMins	QuickChargeMins	NormalChargeVoltage	QuickChargeVoltage	KMRangeElectricEng	ElectricEngineLocation	TopSpeedElectricEng	GreenhouseRating	AirpollutionRating	OverallGreenStarRating	CO2Combined	CO2Urban	CO2ExtraUrban	FuelUrban	FuelExtraurban	FuelCombined	EmissionStandard	MaxEthanolBlend	AncapRating	VFactsClass	VFactsSegment	VFactsPrice	IsPPlateApproved	AverageKM	GoodKM	AvgWholesale	AvgRetail	GoodWholesale	GoodRetail	TradeMin	TradeMax	PrivateMax	NewPrice	Colour	Branch	SaleCategory	Sold_Date	Compliance_Date	Age_Comp_Months	KM	Sold_Amount
Toyota	Hilux	TOYO	HILUX	2012	0	23	KUN26R MY12 SR Cab Chassis Single Cab 2dr Man 5sp 4x4 1160kg 3.0DT	F	L	F	KUN26R	MY12	SR	NULL	Cab Chassis	Single Cab	NULL	NULL	NULL	4X4	4X4	Manual	Floor	5	2	2982	3.0	4	Diesel	Turbo Intercooled	CC	Double Overhead Cam	Piston	76	Direct Injection	Electronic Sequential	5335	2835	MR0DZ22G800######	3085	1795	4980	1760	1675	NULL	1160	126.00	NULL	3600	343	1400	3400	NULL	2	KUN26R-TRMDYQ3	THAILAND	4	4 Stroke	In-line	Front	1KD-#######	NULL	205 R16 C	205 R16 C	16x6.0	16x6.0	2500	750	NULL	NULL	3	100000	5000	3	6	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	217	NULL	NULL	10.20	7.00	8.20	NULL	NULL	NULL	Light Commercial	PU/CC 4x4	NULL	T	150	100	18650	22650	20950	25250	16500	18900	23100	34990	White	Belmore (NSW)	Dealer Only Auction	2017-08-02 00:00:00.000	03/2012	65	103549	23505.00
Citroen	C4	CITR	C4	2005	4	1	Hatchback 5dr Auto 4sp 1.6i	F	L	F	NULL	NULL	NULL	NULL	Hatchback	NULL	NULL	NULL	NULL	Front Wheel Drive	FWD	Automatic	Floor	4	5	1587	1.6	4	Petrol - Unleaded ULP	Aspirated	PASS	Double Overhead Cam	Piston	60	Multi-Point Injection	Electronic Sequential	2994	1794	VF7LCNFUF########	2608	1456	4260	1773	1274	1237	520	80.00	NULL	5750	147	NULL	4000	NULL	5	NULL	FRANCE	4	4 Stroke	In-line	Front	PSANFU 10FX??#######	13.10	205/55 R16	205/55 R16	16x6.0	16x6.0	1200	674	3yr Roadside	NULL	3	100000	2500	3	6	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	188	NULL	NULL	11.30	5.80	7.60	NULL	NULL	4	Passenger	Small	< $40K	T	300	180	NULL	3100	1500	4500	NULL	NULL	4100	27990	Maroon	Sunshine (VIC)	Auction	2017-07-06 00:00:00.000	06/2005	145	172882	1100.00
Ford	Ranger	FORD	RANGER	2011	10	26	PX XL Cab Chassis Single Cab 2dr Man 5sp 4x2 1439kg 2.5i	F	L	F	PX	NULL	XL	NULL	Cab Chassis	Single Cab	NULL	NULL	NULL	Rear Wheel Drive	RWD	Manual	Floor	5	2	2489	2.5	4	Petrol - Unleaded ULP	Aspirated	CC	Double Overhead Cam	Piston	80	Multi-Point Injection	Electronic Sequential	5125	2925	6FP#MBGE0B#P#####	3220	1703	5110	1850	1486	NULL	1439	122.00	NULL	6000	226	NULL	4500	91	3	NULL	THAILAND	4	4 Stroke	In-line	Front	DPAT ######	NULL	215/70 R16	215/70 R16	16x6.5	16x6.5	2200	750	1 year roadside	NULL	3	100000	NULL	NULL	12	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	235	NULL	NULL	NULL	NULL	9.80	NULL	NULL	4	Light Commercial	PU/CC 4X2	NULL	T	180	120	7150	9650	8600	11300	6100	7700	10300	19740	White	Geebung (QLD)	Dealer Only Auction	2016-07-13 00:00:00.000	01/2012	54	177205	10750.00
Mazda	BT-50	MAZD	BT-50	2011	0	16	UNY0E4 SDX Utility Dual Cab 4dr Auto 5sp 4x4 1172kg 3.0DT	F	L	F	UNY0E4	NULL	SDX	NULL	Utility	Dual Cab	NULL	NULL	NULL	4X4	4X4	Automatic	Floor	5	4	2953	3.0	4	Diesel	Turbo Intercooled	CC	Double Overhead Cam	Piston	70	Direct Injection	Electronic Sequential	4875	3059	MM0UNY0E400######	3000	1762	5169	1807	1887	NULL	1172	115.00	NULL	3200	380	NULL	1800	NULL	5	B30NAPDS4	THAILAND	4	4 Stroke	In-line	Front	WEAT-######	NULL	245/70 R16	245/70 R16	16x7.0	16x7.0	2500	750	NULL	NULL	3	100000	10000	6	6	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	4.50	3.00	2.00	263	321	229	12.20	8.60	10.00	Euro 4	NULL	NULL	Light Commercial	PU/CC 4x4	NULL	T	180	120	19600	23700	22050	26500	17400	20000	24300	45555	Silver	Perth (WA)	Auction	2017-04-04 00:00:00.000	05/2011	71	136079	17000.00
Ford	Mondeo	FORD	MONDEO	2014	0	7	MC LX TDCi Wagon 5dr PwrShift 6sp 2.0DT	F	L	F	MC	NULL	LX	TDCi	Wagon	NULL	NULL	NULL	NULL	Front Wheel Drive	FWD	Sports Automatic Dual Clutch	Floor	6	5	1997	2.0	4	Diesel	Turbo Intercooled	PASS	Double Overhead Cam	Piston	70	Direct Injection	Electronic Sequential	NULL	NULL	WF0GXXGBBG*######	2850	1548	4837	1886	1612	1562	NULL	120.00	NULL	4000	340	1750	2500	NULL	5	QNWA988	BELGIUM	4	4 Stroke	In-line	Front	#*######	NULL	215/55 R16	215/55 R16	16x6.5	16x6.5	1600	750	NULL	NULL	3	100000	15000	12	12	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	7.00	5.00	3.50	165	204	143	7.70	5.40	6.20	Euro 5	NULL	5	Passenger	Medium	< $60K	T	75	45	11450	14450	13200	16350	10100	11900	14800	37340	Frozen White	Perth (WA)	Dealer Only Auction	2017-12-06 00:00:00.000	11/2014	37	61493	12289.00
Toyota	86	TOYO	86	2013	0	0	ZN6 GT Coupe 2dr Man 6sp 2.0i	F	L	F	ZN6	NULL	GT	NULL	Coupe	NULL	NULL	NULL	NULL	Rear Wheel Drive	RWD	Manual	Floor	6	2	1998	2.0	4	Petrol - Premium ULP	Aspirated	PASS	DOHC with VVT	Piston	50	Direct & Multi-Point Injection	Electronic Sequential	NULL	1670	JF1ZN6K81DG######	2570	1285	4240	1775	1257	1179	413	147.00	NULL	7000	205	6400	6600	98	4	ZN6-AKB8	JAPAN	4	4 Stroke	Horizontal	Front	FA20 ?######	7.60	205/55 R16	205/55 R16	16x6.5	16x6.5	NULL	NULL	NULL	NULL	3	100000	NULL	1	9	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	6.50	7.50	4.00	181	240	148	10.40	6.40	7.80	Euro 5	NULL	5	Passenger	Sports	< $80K	T	100	60	14800	18200	16700	20400	12900	15000	18600	29990	61K - Dark Grey Metallic (T)	Sunshine (VIC)	Fixed Price	2017-08-30 00:00:00.000	05/2013	51	37939	18038.70
Ford	Focus	FORD	FOCUS	2012	0	3	LW Trend Hatchback 5dr PwrShift 6sp 2.0i	F	L	F	LW	NULL	Trend	NULL	Hatchback	NULL	NULL	NULL	NULL	Front Wheel Drive	FWD	Sports Automatic Dual Clutch	Floor	6	5	1999	2.0	4	Petrol - Premium ULP	Aspirated	PASS	DOHC with VVT	Piston	55	Direct Injection	Electronic Sequential	NULL	1900	WF0KXXGCBKB######	2648	1484	4358	1823	1376	1343	NULL	125.00	NULL	6600	202	NULL	4450	95	5	NULL	GERMANY	4	4 Stroke	In-line	Front	????-#######	NULL	215/55 R16	215/55 R16	16x7.0	16x7.0	NULL	NULL	NULL	NULL	3	100000	3000	4	12	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	7.50	6.50	4.00	154	217	117	9.40	5.10	6.60	Euro 4	NULL	5	Passenger	Small	< $40K	T	130	80	6650	9200	8150	10750	5800	7300	9800	26790	Red	Geebung (QLD)	Dealer Only Auction	2016-01-20 00:00:00.000	09/2012	40	87239	9588.00
Toyota	Camry	TOYO	CAMRY	2013	0	0	ASV50R Altise Sedan 4dr Spts Auto 6sp 2.5i	F	L	F	ASV50R	NULL	Altise	NULL	Sedan	NULL	NULL	NULL	NULL	Front Wheel Drive	FWD	Sports Automatic	Floor	6	4	2494	2.5	4	Petrol - Unleaded ULP	Aspirated	PASS	DOHC with VVT	Piston	70	Multi-Point Injection	Electronic Sequential	3300	2100	6T1BF3FK90#######	2775	1470	4815	1825	1465	1420	635	133.00	NULL	6000	231	NULL	4100	91	5	ASV50R-DETDKQ	AUSTRALIA	4	4 Stroke	In-line	Front	2AZR-#######	9.30	215/60 R16	215/60 R16	16x6.5	16x6.5	1200	500	NULL	NULL	3	100000	5000	3	9	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	6.50	6.50	3.50	183	255	142	10.90	6.00	7.80	Euro 4	E10	5	Passenger	Medium	< $60K	T	100	60	9700	12650	11450	14450	8500	10300	13000	30490	061 - Diamond White (T)	Belmore (NSW)	Auction	2016-08-23 00:00:00.000	09/2013	35	85786	11800.00
Toyota	Aurion	TOYO	AURION	2012	4	0	GSV50R AT-X Sedan 4dr Spts Auto 6sp 3.5i	F	L	F	GSV50R	NULL	AT-X	NULL	Sedan	NULL	NULL	NULL	NULL	Front Wheel Drive	FWD	Sports Automatic	Floor	6	4	3456	3.5	6	Petrol - Unleaded ULP	Aspirated	PASS	DOHC with VVT	Piston	70	Multi-Point Injection	Electronic Sequential	3700	2100	6T1BF3FK80X######	2775	1470	4835	1825	1525	1480	575	200.00	NULL	6200	336	NULL	4700	91	5	GSV50R-JETDKQ	AUSTRALIA	4	4 Stroke	V60	Front	2GR-#######	NULL	215/60 R16	215/60 R16	16x6.5	16x6.5	1600	500	NULL	NULL	3	100000	5000	3	9	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	6.00	8.50	4.00	215	307	162	13.30	7.00	9.30	Euro 4	NULL	5	Passenger	Large	< $70K	T	130	80	9050	11850	10600	13650	7900	9500	12200	36490	061 - Diamond White (T)	Belmore (NSW)	Dealer Only Auction	2016-08-10 00:00:00.000	05/2012	51	61990	13500.00
Holden	Colorado	HOLD	COLORAD	2013	0	4	RG MY13 LX Cab Chassis Crew Cab 4dr. Spts Auto 6sp 1172kg 2.8DT	F	L	F	RG	MY13	LX	NULL	Cab Chassis	Dual Cab	NULL	NULL	NULL	Rear Wheel Drive	RWD	Sports Automatic	Floor	6	4	2776	2.8	4	Diesel	Turbo Intercooled	CC	Double Overhead Cam	Piston	76	Direct Injection	Electronic Sequential	6000	3100	MMU147CH0DH######	3096	1780	5127	1882	1805	NULL	1172	132.00	NULL	3800	470	NULL	2000	NULL	5	82K432D2	THAILAND	4	4 Stroke	In-line	Front	APR G102######	NULL	245/70 R16	245/70 R16	16x6.5	16x6.5	3500	750	1yr Roadside	NULL	3	100000	15000	9	9	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	5.00	3.00	2.50	245	302	212	11.30	7.90	9.10	Euro 4	NULL	5	Light Commercial	PU/CC 4X2	NULL	T	120	80	16200	19850	18200	22150	14200	16400	20200	35990	Summit White	Sunshine (VIC)	Auction	2017-10-24 00:00:00.000	07/2013	51	74592	17100.00
Toyota	Hilux	TOYO	HILUX	2014	0	20	KUN26R MY14 SR Utility Double Cab 4dr Auto 5sp 4x4 840kg 3.0DT	F	L	F	KUN26R	MY14	SR	NULL	Utility	Dual Cab	NULL	NULL	NULL	4X4 Dual Range	4XD	Automatic	Floor	5	4	2982	3.0	4	Diesel	Turbo Intercooled	CC	Double Overhead Cam	Piston	76	Direct Injection	Electronic Sequential	5280	2780	MR0FZ22G700######	3085	1860	5135	1760	1940	1885	840	126.00	NULL	3600	360	1400	3200	NULL	5	KUN26R-PRADYQ	THAILAND	4	4 Stroke	In-line	Front	1KD-#######	NULL	225/70 R17	225/70 R17	17x6.0	17x6.0	2500	750	NULL	NULL	3	100000	5000	3	6	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	5.00	3.00	NULL	230	NULL	NULL	11.10	7.30	8.70	NULL	NULL	5	Light Commercial	PU/CC 4x4	NULL	T	90	60	27850	33050	30600	36250	25400	28300	33400	45240	040 - Glacier White (T)	Belmore (NSW)	Special Fixed Price	2016-02-29 00:00:00.000	09/2014	17	88018	34100.00
Holden	Berlina	HOLD	BERLINA	2011	0	4	VE II International Sportwagon 5dr. Spts Auto 6sp 3.0i	F	L	T	VE II	NULL	International	NULL	Wagon	NULL	NULL	NULL	NULL	Rear Wheel Drive	RWD	Sports Automatic	Floor	6	5	2997	3.0	6	Petrol - Unleaded ULP	Aspirated	PASS	DOHC with VVT	Piston	71	Direct Injection	Electronic Sequential	NULL	NULL	6G1EL8E5*BL######	2915	1476	4897	1899	1789	1737	NULL	190.00	NULL	6700	290	NULL	2900	91	5	NULL	AUSTRALIA	4	4 Stroke	V60	Front	LF1#10***1234*	NULL	245/45 R18	245/45 R18	18x8.0	18x8.0	1600	750	1yr Roadside	NULL	3	100000	15000	12	12	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	5.50	8.50	4.00	228	310	180	13.10	7.60	9.60	Euro 5	E85	5	Passenger	Large	< $70K	T	150	90	9300	12150	11000	14000	8100	9900	12600	38990	White	Geebung (QLD)	Auction	2016-04-18 00:00:00.000	02/2011	62	146407	10800.00
Toyota	Kluger	TOYO	KLUGER	2012	1	6	GSU40R MY12 KX-S Wagon 7st 5dr Spts Auto 5sp 2WD 3.5i	F	L	F	GSU40R	MY12	KX-S	NULL	Wagon	NULL	NULL	NULL	NULL	Front Wheel Drive	FWD	Sports Automatic	Floor	5	5	3456	3.5	6	Petrol - Unleaded ULP	Aspirated	SUV	DOHC with VVT	Piston	72	Multi-Point Injection	Electronic Sequential	4130	2630	JTEDS41A102######	2790	1760	4785	1910	1940	1895	690	201.00	NULL	6200	337	NULL	4700	91	7	GSU40R-BRANKQ	JAPAN	4	4 Stroke	V60	Front	2GR-#######	8.20	245/55 R19	245/55 R19	19x7.5	19x7.5	2000	700	NULL	NULL	3	100000	5000	3	6	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	5.00	5.50	3.00	259	350	206	15.00	8.70	11.00	NULL	NULL	5	SUV	Large	< $70K	T	130	80	19750	23900	22150	26600	17500	20100	24400	50990	Silver	Canberra (ACT)	Auction	2016-11-10 00:00:00.000	09/2012	50	103051	22500.00
Nissan	Dualis	NISS	DUALIS	2013	5	15	J10W Series 4 MY13 Ti-L Hatch 5dr X-tronic 6sp 2WD 2.0i	F	L	F	J10W Series 4	MY13	Ti-L	NULL	Hatchback	NULL	NULL	NULL	NULL	Front Wheel Drive	FWD	Constantly Variable Transmission	Floor	6	5	1997	2.0	4	Petrol - Unleaded ULP	Aspirated	SUV	DOHC with VVT	Piston	65	Multi-Point Injection	Electronic Sequential	NULL	1960	SJNFBAJ10A0######	2630	1606	4329	1783	NULL	1427	NULL	102.00	NULL	5200	198	NULL	4400	91	5	DUALIS2PATIL4	UNITED KINGDOM	4	4 Stroke	In-line	Front	MR20 ######?	NULL	215/55 R18	215/55 R18	18x6.5	18x6.5	1200	685	3yr Roadside Assist	NULL	3	100000	10000	6	6	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	195	259	158	10.90	6.60	8.20	Euro 4	NULL	5	SUV	Small	< $40K	T	100	60	16500	20150	18500	22500	14500	16700	20500	35090	Black	Sunshine (VIC)	Auction	2017-08-15 00:00:00.000	04/2014	40	73244	16700.00
Mazda	3	MAZD	3	2012	0	10	BL10F2 Neo Sedan 4dr Activematic 5sp 2.0i	F	L	F	BL10F2	NULL	Neo	NULL	Sedan	NULL	NULL	NULL	NULL	Front Wheel Drive	FWD	Sports Automatic	Floor	5	4	1999	2.0	4	Petrol - Unleaded ULP	Aspirated	PASS	Double Overhead Cam	Piston	55	Multi-Point Injection	Electronic Sequential	NULL	NULL	JM0BL10F200######	2640	1470	4580	1755	1292	1260	NULL	108.00	NULL	6500	182	NULL	4500	91	5	300GAS4D	JAPAN	4	4 Stroke	In-line	Front	LF-######	NULL	195/65 R15	195/65 R15	15x6.0	15x6.0	900	500	NULL	NULL	3	-1	1000	NULL	6	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	6.50	6.50	3.50	193	266	149	11.30	6.30	8.20	Euro 4	NULL	5	Passenger	Small	< $40K	T	130	80	8650	11400	10150	13150	7500	9100	11800	22330	Grey	Perth (WA)	Auction	2016-11-08 00:00:00.000	05/2012	54	82225	10300.00
Ford	Transit	FORD	TRANSIT	2009	0	3	VM Van Mid Roof MWB 4dr Man 6sp 1315kg 2.4DT	F	L	F	VM	NULL	NULL	NULL	Van	NULL	Medium Wheelbase	Mid Roof	NULL	Rear Wheel Drive	RWD	Manual	Dash	6	4	2402	2.4	4	Diesel	Turbo Intercooled	VAN	Double Overhead Cam	Piston	80	Direct Injection	Electronic Sequential	6100	3300	WF0XXXTTFX9*#####	3300	2387	5230	1974	1985	1887	1315	103.00	NULL	3500	375	NULL	2000	NULL	3	54816	TURKEY	4	4 Stroke	In-line	Front	6T-#####	NULL	215/75 R16 C	215/75 R16 C	16x6.5	16x6.5	2800	750	1 year roadside	NULL	3	100000	3000	2	12	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	Light Commercial	Vans/CC	2.5t-3.5t	T	240	160	11800	15800	13850	18200	10300	12500	16000	41490	White	Wagga Wagga (NSW)	Auction	2016-07-20 00:00:00.000	11/2009	80	406496	7250.00
Hyundai	iLoad	HYUN	ILOAD	2012	2	2	TQ2-V MY12 Van 5dr. Man 6sp 1113kg 2.5DT	F	L	F	TQ2-V	MY12	NULL	NULL	Van	NULL	NULL	NULL	NULL	Rear Wheel Drive	RWD	Manual	Dash	6	5	2497	2.5	4	Diesel	Turbo Intercooled	VAN	Double Overhead Cam	Piston	75	Direct Injection	Electronic	NULL	3160	KMFWBX7K#CU######	3200	1935	5125	1920	2047	2028	1113	100.00	NULL	3800	343	1500	2500	NULL	3	NULL	SOUTH KOREA	4	4 Stroke	In-line	Front	D4CB* ######	NULL	215/70 R16	215/70 R16	16x6.5	16x6.5	2000	750	Roadside Assistance	NULL	5	160000	1500	1	12	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	212	NULL	NULL	10.20	6.80	8.00	NULL	NULL	NULL	Light Commercial	Vans/CC	2.5t-3.5t	T	150	100	16000	19600	18050	21950	14000	16200	20000	34490	White	Sunshine (VIC)	Dealer Only Auction	2016-09-14 00:00:00.000	04/2012	53	85005	17000.00
Holden	Ute	HOLD	UTE	2006	1	1	VZ MY06 Utility Extended Cab 2dr. Auto 4sp 818kg 3.6i	F	L	F	VZ	MY06	NULL	NULL	Utility	Extended Cab	NULL	NULL	NULL	Rear Wheel Drive	RWD	Automatic	Floor	4	2	3565	3.6	6	Petrol - Unleaded ULP	Aspirated	CC	DOHC with VVT	Piston	70	Multi-Point Injection	Electronic Sequential	3805	2365	6G1ZK43B?6L######	2939	1476	5052	1845	1547	1453	818	172.00	NULL	6000	320	NULL	2800	91	2	8VK80-014	AUSTRALIA	4	4 Stroke	V60	Front	10HBAH-04#######	NULL	205/65 R15	205/65 R15	15x7.0	15x7.0	1440	NULL	3yr Roadside	NULL	3	100000	15000	12	12	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	281	NULL	NULL	NULL	NULL	11.00	NULL	NULL	NULL	Light Commercial	PU/CC 4X2	NULL	T	330	220	3800	6400	5650	8200	3300	5100	7300	27990	Silver	Belmore (NSW)	Auction	2017-05-03 00:00:00.000	06/2006	131	316920	1000.00
Toyota	RAV4	TOYO	RAV4	2012	0	13	GSA33R MY12 CV6 Wagon 5dr Auto 5sp 4x4 3.5i	F	L	F	GSA33R	MY12	CV6	NULL	Wagon	NULL	NULL	NULL	NULL	4X4 On Demand	4XO	Automatic	Floor	5	5	3456	3.5	6	Petrol - Unleaded ULP	Aspirated	SUV	DOHC with VVT	Piston	60	Multi-Point Injection	Electronic Sequential	4070	2170	JTMBK33V*05######	2660	1695	4625	1815	1650	1615	520	201.00	NULL	6200	333	NULL	4700	91	5	GSA33R-ANAXKQ	JAPAN	4	4 Stroke	V60	Front	2GR-#######	7.40	225/65 R17	225/65 R17	17x6.5	17x6.5	1900	750	NULL	NULL	3	100000	5000	3	6	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	5.00	6.50	3.50	246	NULL	NULL	NULL	NULL	10.50	NULL	NULL	NULL	SUV	Medium	< $60K	T	130	80	15800	19400	17850	21750	13900	16100	19800	39990	1G3 - Graphite (T)	Perth (WA)	Special Fixed Price	2016-08-22 00:00:00.000	05/2012	51	82467	18216.61
Toyota	Camry	TOYO	CAMRY	2014	0	0	ASV50R Altise Sedan 4dr Spts Auto 6sp 2.5i	F	L	F	ASV50R	NULL	Altise	NULL	Sedan	NULL	NULL	NULL	NULL	Front Wheel Drive	FWD	Sports Automatic	Floor	6	4	2494	2.5	4	Petrol - Unleaded ULP	Aspirated	PASS	DOHC with VVT	Piston	70	Multi-Point Injection	Electronic Sequential	3300	2100	6T1BF3FK90#######	2775	1470	4815	1825	1465	1420	635	133.00	NULL	6000	231	NULL	4100	91	5	ASV50R-DETDKQ	AUSTRALIA	4	4 Stroke	In-line	Front	2AZR-#######	9.30	215/60 R16	215/60 R16	16x6.5	16x6.5	1200	500	NULL	NULL	3	100000	5000	3	9	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	6.50	6.50	3.50	183	255	142	10.90	6.00	7.80	Euro 4	E10	5	Passenger	Medium	< $60K	T	75	45	11150	14200	12950	16050	9900	11700	14500	30490	061 - Diamond White (T)	Geebung (QLD)	Dealer Only Auction	2016-06-20 00:00:00.000	10/2014	20	54084	13100.00
Chrysler	300	CHRY	300	2012	7	4	LX MY12 C Luxury Sedan 4dr E-Shift 8sp 3.6i	F	L	F	LX	MY12	C	Luxury	Sedan	NULL	NULL	NULL	NULL	Rear Wheel Drive	RWD	Sports Automatic	S/Wheel & Floor	8	4	3604	3.6	6	Petrol - Unleaded ULP	Aspirated	PASS	DOHC with VVT	Piston	72	Multi-Point Injection	Electronic Sequential	NULL	2359	2C3CCAVG*CH######	3052	1492	5066	1905	1897	1824	462	210.00	NULL	6350	340	NULL	4650	91	5	LXZR4827R-8AL	CANADA	4	4 Stroke	V60	Front	GCH######	7.00	245/45 R20	245/45 R20	20x8.0	20x8.0	1724	750	3yr Roadside Assist	NULL	3	100000	NULL	NULL	6	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	5.50	7.50	3.50	227	334	165	14.30	7.10	9.70	NULL	NULL	NULL	Passenger	Upper Large	< $100K	T	130	80	18050	21950	20300	24500	15900	18300	22400	51000	White	Wagga Wagga (NSW)	Auction	2017-08-17 00:00:00.000	04/2013	52	88720	13500.00
Mazda	CX-5	MAZD	CX-5	2016	0	1	KE1072 Maxx Wagon 5dr SKYACTIV-Drive 6sp 2.0i (FWD)	F	L	F	KE1072	NULL	Maxx	NULL	Wagon	NULL	NULL	NULL	FWD	Front Wheel Drive	FWD	Sports Automatic	Floor	6	5	1998	2.0	4	Petrol - Unleaded ULP	Aspirated	SUV	DOHC with VVT	Piston	56	Direct Injection	Electronic Sequential	NULL	1972	JM0KE107200######	2700	1710	4540	1840	1487	1440	453	114.00	NULL	6000	200	NULL	4000	91	5	CX5DAW5M	JAPAN	4	4 Stroke	In-line	Front	PE-######	NULL	225/65 R17	225/65 R17	17x7.0	17x7.0	1800	750	NULL	NULL	3	-1	10000	12	12	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	148	184	127	8.00	5.50	6.40	Euro 4	E10	5	SUV	Medium	< $60K	T	25	15	19000	23050	21100	25450	16800	19100	23300	29190	Grey	Belmore (NSW)	Auction	2017-11-28 00:00:00.000	03/2016	20	32123	25400.00
